Rank,Player_ID,Name,Nationality,Birth_Year,Play_Hand,Backhand,is_ghost
203.0,800652444,Guilherme Barbieri Renner,BRA,2008.0,Unknown,Unknown,False
204.0,800783864,Aleix Galindo Puig,ESP,2009.0,Unknown,Unknown,False
205.0,800715003,Kamil Stolarczyk,USA,2009.0,Unknown,Unknown,False
206.0,800579231,Edwin Averjanov,EST,2008.0,Unknown,Unknown,False
207.0,800631785,Omar Kandil,EGY,2009.0,Unknown,Unknown,False
208.0,800664214,Gabriel Niedermayr,AUT,2009.0,Unknown,Unknown,False
209.0,800718701,Antoine Genereux,CAN,2009.0,Unknown,Unknown,False
210.0,800683991,Seifelden Mostafa Samih,EGY,2008.0,Unknown,Unknown,False
211.0,800772281,Daniel Malacek,USA,2009.0,Unknown,Unknown,False
212.0,800664204,Hryhorii Kartavenko,UKR,2008.0,Unknown,Unknown,False
213.0,800705403,Koyu Yanagi,JPN,2009.0,Unknown,Unknown,False
214.0,800680243,Tavish Pahwa,IND,2010.0,Unknown,Unknown,False
215.0,800740436,Jerald Carroll,USA,2008.0,Unknown,Unknown,False
216.0,800721308,William McEwan,USA,2008.0,Unknown,Unknown,False
217.0,800586830,Lenny Couturier,FRA,2008.0,Unknown,Unknown,False
218.0,800720441,Erik Schinnerer,USA,2008.0,Unknown,Unknown,False
219.0,800696001,Carlos Eduardo Lino,BRA,2009.0,Right Handed,Double Handed Backhand,False
220.0,800708119,Sean Grosman,USA,2008.0,Unknown,Unknown,False
221.0,800680729,Jakub Vrtilka,CZE,2008.0,Right Handed,Double Handed Backhand,False
222.0,800680775,Roger Koike,JPN,2008.0,Unknown,Unknown,False
223.0,800567584,Salvador Monteiro,POR,2008.0,Unknown,Unknown,False
224.0,800746542,Taiki Takizawa,AUS,2010.0,Unknown,Unknown,False
225.0,800660184,Young Hoon Kim,KOR,2008.0,Unknown,Unknown,False
226.0,800590053,Snir Morag,ISR,2008.0,Unknown,Unknown,False
227.0,800601885,Arian Hasas,GER,2008.0,Unknown,Unknown,False
228.0,800626417,Samim Filiz,TUR,2009.0,Right Handed,Double Handed Backhand,False
229.0,800719980,AASHRAVYA MEHRA,IND,2008.0,Unknown,Unknown,False
230.0,800659854,Praneel Sharma,IND,2008.0,Right Handed,Double Handed Backhand,False
231.0,800698105,Maxi Carrascosa Diaz,ESP,2008.0,Right Handed,Double Handed Backhand,False
232.0,800778647,Rowan Qalbani,USA,2009.0,Unknown,Unknown,False
233.0,800589486,Rodrigo Leal,POR,2008.0,Unknown,Unknown,False
234.0,800643082,Ahmed Darmoul,TUN,2009.0,Unknown,Unknown,False
235.0,800667359,Seung-Min Oh,KOR,2009.0,Unknown,Unknown,False
236.0,800757736,Mason Vaughan,USA,2009.0,Right Handed,Double Handed Backhand,False
237.0,800712737,Har Abir Sekhon,AUS,2010.0,Unknown,Unknown,False
238.0,800593247,Adolfo Abascal,ESP,2009.0,Unknown,Unknown,False
239.0,800647226,Tomas Laukys,USA,2010.0,Unknown,Unknown,False
240.0,800589345,Pietro Ricci,ITA,2008.0,Right Handed,Unknown,False
241.0,800567143,Yanael Beranger,FRA,2008.0,Unknown,Unknown,False
242.0,800630414,Dominik Vagner,CZE,2009.0,Unknown,Unknown,False
243.0,800644954,Mark Becirovic Novak,SLO,2008.0,Right Handed,Double Handed Backhand,False
