Player_ID,Opponent_ID,Opponent_Name,Opponent_Nation,Tournament,Date,Surface,Round,Result,Score
800680259,800708119,Sean Grosman,USA,J300 Repentigny,24 Aug to 30 Aug 2025,Hard,2nd Round,W,6-0 6-7 6-3
800680259,800545935,Max Schoenhaus,GER,"The Junior Championships, Wimbledon",05 Jul to 13 Jul 2025,Grass,2nd Round,L,4-6 6-4 0-6
800680259,800654119,Connor Doig,RSA,"The Junior Championships, Wimbledon",05 Jul to 13 Jul 2025,Grass,1st Round,W,7-5 6-2
800680259,800563909,Alexander Vasilev,BUL,J300 Roehampton,29 Jun to 04 Jul 2025,Grass,Semi-final,L,5-7 3-6
800680259,800545935,Max Schoenhaus,GER,J300 Roehampton,29 Jun to 04 Jul 2025,Grass,Quarter-final,W,7-6 6-3
800680259,800570094,Jacopo Vasami,ITA,J300 Roehampton,29 Jun to 04 Jul 2025,Grass,3rd Round,W,7-5 2-1
800680259,800586542,Ludvig Hede,SWE,J300 Roehampton,29 Jun to 04 Jul 2025,Grass,2nd Round,W,6-2 1-6 6-3
800680259,800657117,Keaton Hance,USA,J300 Roehampton,29 Jun to 04 Jul 2025,Grass,1st Round,W,7-5 6-2
800680259,800561394,Pierre Antoine Faut,FRA,Roland Garros Junior Championships,01 Jun to 07 Jun 2025,Clay,1st Round,L,4-6 4-6
800680259,800650943,Maximus Dussault,USA,J300 Charleroi-Marcinelle,26 May to 31 May 2025,Clay,Final,W,6-4 6-2
800680259,800590346,Nikita Bilozertsev,UKR,J300 Charleroi-Marcinelle,26 May to 31 May 2025,Clay,Semi-final,W,6-0 6-3
800680259,800579895,Ziga Sesko,SLO,J300 Charleroi-Marcinelle,26 May to 31 May 2025,Clay,Quarter-final,W,6-3 6-3
800680259,800721316,Ryan Cozad,USA,J300 Charleroi-Marcinelle,26 May to 31 May 2025,Clay,2nd Round,W,6-0 3-6 6-3
800680259,800575875,Ethan Dasset,BEL,J300 Charleroi-Marcinelle,26 May to 31 May 2025,Clay,1st Round,W,6-1 6-1
800680259,800570117,Jamie Mackenzie,GER,J500 Milan,19 May to 25 May 2025,Clay,3rd Round,L,6-7 6-4 3-6
800680259,800567425,Rethin Pranav Senthil Kumar,IND,J500 Milan,19 May to 25 May 2025,Clay,2nd Round,W,6-0 6-3
800680259,800657117,Keaton Hance,USA,J500 Milan,19 May to 25 May 2025,Clay,1st Round,W,6-1 6-1
800680259,800692766,Kuan-Shou Chen,TPE,J300 Santa Croce sull’Arno,12 May to 17 May 2025,Clay,2nd Round,L,6-2 4-6 3-6
800680259,800583844,Ryo Tabata,JPN,J300 Santa Croce sull’Arno,12 May to 17 May 2025,Clay,1st Round,W,6-2 6-7 6-3
800680259,800658369,Dante Pagani,ARG,J300 Medellin (South America Regional Championships),04 Mar to 09 Mar 2025,Clay,Final,L,6-4 0-6 4-6
